event_id,lat,lon,timestamp,case_count,region,country,year,month
223,13.09,103.2,2003-08-01,63,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,8
224,13.09,103.2,2003-09-01,29,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,9
225,13.09,103.2,2003-10-01,29,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,10
226,13.09,103.2,2003-11-01,6,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,11
227,13.09,103.2,2003-12-01,2,"CAMBODIA, BATTAMBANG",CAMBODIA,2003,12
228,13.09,103.2,2004-02-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,2
229,13.09,103.2,2004-03-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,3
230,13.09,103.2,2004-04-01,2,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,4
231,13.09,103.2,2004-05-01,5,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,5
232,13.09,103.2,2004-06-01,6,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,6
233,13.09,103.2,2004-07-01,6,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,7
234,13.09,103.2,2004-08-01,15,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,8
235,13.09,103.2,2004-09-01,8,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,9
236,13.09,103.2,2004-10-01,5,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,10
237,13.09,103.2,2004-11-01,3,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,11
238,13.09,103.2,2004-12-01,4,"CAMBODIA, BATTAMBANG",CAMBODIA,2004,12
239,13.09,103.2,2005-01-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,1
240,13.09,103.2,2005-02-01,0,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,2
241,13.09,103.2,2005-03-01,4,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,3
242,13.09,103.2,2005-04-01,3,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,4
243,13.09,103.2,2005-05-01,23,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,5
244,13.09,103.2,2005-06-01,45,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,6
245,13.09,103.2,2005-07-01,99,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,7
246,13.09,103.2,2005-08-01,88,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,8
247,13.09,103.2,2005-09-01,60,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,9
248,13.09,103.2,2005-10-01,18,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,10
249,13.09,103.2,2005-11-01,16,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,11
250,13.09,103.2,2005-12-01,1,"CAMBODIA, BATTAMBANG",CAMBODIA,2005,12
251,13.09,103.2,2006-01-01,3,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,1
252,13.09,103.2,2006-02-01,2,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,2
253,13.09,103.2,2006-03-01,3,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,3
254,13.09,103.2,2006-04-01,8,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,4
255,13.09,103.2,2006-05-01,30,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,5
256,13.09,103.2,2006-06-01,34,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,6
257,13.09,103.2,2006-07-01,29,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,7
258,13.09,103.2,2006-08-01,24,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,8
259,13.09,103.2,2006-09-01,11,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,9
260,13.09,103.2,2006-10-01,12,"CAMBODIA, BATTAMBANG",CAMBODIA,2006,10
